ts,cycle_idx,compute_actual_ms,sleep_actual_ms,period_actual_ms,cycle_iters
1775322100.5074391,35,33.1354821100831,66.97515095584095,100.11063306592405,10
1775322100.607575,36,32.795165898278356,67.30411108583212,100.09927698411047,10
1775322100.7077172,37,32.70111884921789,67.4080359749496,100.10915482416749,10
1775322100.8078053,38,32.69948600791395,67.35189515165985,100.0513811595738,10
1775322100.9079204,39,32.68142114393413,67.40037584677339,100.08179699070752,10
1775322101.0080447,40,32.514875987544656,67.57311290130019,100.08798888884485,10
1775322101.1082325,41,33.00608997233212,67.11081694811583,100.11690692044795,10
1775322101.2084572,42,32.83559391275048,67.32572498731315,100.16131890006363,10
1775322101.308722,43,33.16973499022424,66.97428994812071,100.14402493834496,10
1775322101.4089804,44,33.18857797421515,66.96227099746466,100.1508489716798,10
1775322101.5092297,45,33.21056696586311,66.91451417282224,100.12508113868535,10
1775322101.6094375,46,32.94814401306212,67.19908816739917,100.14723218046129,10
1775322101.7096472,47,32.97876217402518,67.16658198274672,100.1453441567719,10
1775322101.8098752,48,33.11667195521295,66.97935797274113,100.09602992795408,10
1775322101.9101486,49,30.007659923285246,70.14329801313579,100.15095793642104,9
1775322102.0103967,50,30.43590299785137,69.68206819146872,100.11797118932009,9
1775322102.1108298,51,30.281458981335163,69.92351892404258,100.20497790537775,9
1775322102.2109811,52,32.83325978554785,67.27029918693006,100.10355897247791,10
1775322102.3112311,53,30.12324101291597,70.02615998499095,100.14940099790692,9
1775322102.4114854,54,33.10216893441975,67.05212197266519,100.15429090708494,10
1775322102.5117629,55,33.266616985201836,66.88764109276235,100.15425807796419,10
1775322102.6119025,56,33.209092915058136,66.87451503239572,100.08360794745386,10
1775322102.712083,57,32.72845293395221,67.40404292941093,100.13249586336315,10
1775322102.8123534,58,33.17245002835989,66.97167502716184,100.14412505552173,10
1775322102.9126337,59,30.14132985845208,70.01515198498964,100.15648184344172,9
1775322103.0131445,60,30.600331025198102,69.6349439676851,100.2352749928832,9
1775322103.1138694,61,30.094166984781623,70.07109792903066,100.16526491381228,9
1775322103.214124,62,30.095697846263647,70.05482516251504,100.15052300877869,9
1775322103.3143308,63,33.135405043140054,66.99738395400345,100.1327889971435,10
1775322103.4145782,64,33.1148998811841,67.04083411023021,100.15573399141431,10
1775322103.5148687,65,30.218848027288914,69.95239807292819,100.1712461002171,9
1775322103.6151161,66,30.006696935743093,70.14046097174287,100.14715790748596,9
1775322103.7153716,67,30.085179023444653,70.04775595851243,100.13293498195708,9
1775322103.815555,68,32.69063704647124,67.44839390739799,100.13903095386922,10
1775322103.9158046,69,30.067133018746972,70.09956194087863,100.1666949596256,9
1775322104.0160444,70,31.924072885885835,68.19451716728508,100.11859005317092,9
1775322104.1163406,71,30.715434113517404,69.38321399502456,100.09864810854197,9
1775322104.2165737,72,33.0782460514456,67.07250396721065,100.15075001865625,10
1775322104.3168628,73,30.28860315680504,69.87641495652497,100.16501811333,9
1775322104.41711,74,30.222854809835553,69.91548906080425,100.1383438706398,9
1775322104.5173547,75,30.35539691336453,69.75685921497643,100.11225612834096,9
1775322104.6176353,76,30.89168597944081,69.2631509155035,100.15483689494431,9
1775322104.7178211,77,30.722039053216577,69.3257360253483,100.04777507856488,9
1775322104.8179488,78,32.9129109159112,67.17225699685514,100.08516791276634,10
1775322104.918093,79,33.03410205990076,67.06101284362376,100.09511490352452,10
1775322105.018287,80,30.395583948120475,69.70946094952524,100.10504489764571,9
1775322105.1185582,81,30.12580913491547,69.98123205266893,100.1070411875844,9
1775322105.2187903,82,31.977386912330985,68.13645013608038,100.11383704841137,9
1775322105.3190231,83,32.48119307681918,67.62742577120662,100.1086188480258,9
1775322105.4192524,84,31.07343101873994,69.02992003597319,100.10335105471313,9
1775322105.519476,85,30.752879101783037,69.39520896412432,100.14808806590736,9
1775322105.6197584,86,32.29736490175128,67.8484090603888,100.14577396214008,9
1775322105.720012,87,19.00730887427926,81.12462307326496,100.13193194754422,5
